time,value
7/9/2131 18:00,40
7/9/2131 20:00,60
7/9/2131 21:00,22
7/9/2131 22:00,31
7/9/2131 23:00,34
7/10/2131 0:00,31
7/10/2131 1:00,15
7/10/2131 2:00,32
7/10/2131 3:00,60
7/10/2131 4:00,32
7/10/2131 5:00,80
7/10/2131 6:00,40
7/10/2131 8:00,110
7/10/2131 9:00,130
7/10/2131 10:00,230
7/10/2131 11:00,100
7/10/2131 12:00,100
7/10/2131 13:00,50
7/10/2131 14:00,50
7/10/2131 15:00,50
7/10/2131 16:00,40
7/10/2131 17:00,40
7/10/2131 20:00,140
7/10/2131 21:00,50
7/10/2131 22:00,34
7/10/2131 23:00,30
7/11/2131 1:00,50
7/11/2131 2:00,32
7/11/2131 3:00,50
7/11/2131 5:00,100
7/11/2131 6:00,40
7/11/2131 8:00,80
7/11/2131 10:00,340
7/11/2131 11:00,120
7/11/2131 13:00,200
7/11/2131 15:00,80
7/11/2131 16:00,60
7/11/2131 20:00,60
7/11/2131 21:00,36
7/11/2131 22:00,22
7/12/2131 1:00,75
7/12/2131 2:00,15
7/12/2131 4:00,90
7/12/2131 5:00,25
7/12/2131 6:00,60
7/12/2131 9:00,140
7/12/2131 10:00,280
7/12/2131 11:00,300
7/12/2131 12:00,120
7/12/2131 14:00,200
7/12/2131 15:00,80
